BHK,Size,Bathroom,Area Type_Built Area,Area Type_Carpet Area,Area Type_Super Area,City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Furnished,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Agent,Point of Contact_Contact Builder,Point of Contact_Contact Owner
1,520,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
3,1233,4,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
4,3115,5,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1,500,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
1,641,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
1,325,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
2,2800,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
1,375,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
2,600,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
3,1742,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
2,790,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
3,900,3,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2,90,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
3,96,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
2,600,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
1,550,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,80,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
2,750,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
1,450,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
2,990,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,1200,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
3,1700,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
2,560,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
2,60,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
3,1440,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1,450,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
2,1325,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2,190,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2,1200,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,500,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,860,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
